項次,事業單位名稱,違反法令條款,違反法規內容,處分書文號,處分日期
9,國百企業有限公司,勞基法第36條,每七日中未有一日之休息作為例假。,北府勞條字第10218654572號函,102年5月23日
9,國百企業有限公司,勞基法第39條,假日工資未給或於休假日工作未依規定加給工資。,北府勞條字第10218654573號函,102年5月23日
10,全聯實業股份有限公司,*勞基法第24條,延長工作時間未依規定加給工資。,北府勞條字第1021906535號函,102年5月29日
11,喬信保全股份有限公司,*勞基法第36條,每七日中未有一日之休息作為例假。,北府勞條字第1021929409號函,102年5月31日
12,家福股份有限公司,*勞基法第38條,未依規定給予特別休假。,北府勞條字第1021907770號函,102年5月31日
13,英屬維京群島商銀鯨股份有限公司臺灣分公司,勞基法第30條第5項,未依規定置備勞工出勤紀錄表。,北府勞條字第1021972023號函,102年6月6日
13,英屬維京群島商銀鯨股份有限公司臺灣分公司,勞基法第32條第2項,延長工作時間超過法令規定。,北府勞條字第10219720231號函,102年6月6日
13,英屬維京群島商銀鯨股份有限公司臺灣分公司,勞基法第39條,假日工資未給或於休假日工作未依規定加給工資。,北府勞條字第10219720232號函,102年6月6日
14,利晉工程股份有限公司,*勞基法第30條第5項,未依規定置備勞工出勤紀錄表。,北府勞條字第1022012989號函,102年6月18日
15,台灣軟電股份有限公司,*勞基法第32條第2項,延長工作時間超過法令規定。,北府勞條字第1022048138號函,102年6月18日
16,香帥蛋糕有限公司,勞基法第21條第1項,未達基本工資。,北府勞條字第1022059848號函,102年6月19日
16,香帥蛋糕有限公司,勞基法第24條,延長工作時間未依規定加給工資。,北府勞條字第10220598481號函,102年6月19日
16,香帥蛋糕有限公司,勞基法第32條第2項,延長工作時間超過法令規定。,北府勞條字第10220598482號函,102年6月19日
16,香帥蛋糕有限公司,勞基法第39條,假日工資未給或於休假日工作未依規定加給工資。,北府勞條字第10220598483號函,102年6月19日
17,喜寶食品生技股份有限公司,勞基法第24條,延長工作時間未依規定加給工資。,北府勞條字第1022041980號函,102年6月19日
17,喜寶食品生技股份有限公司,勞基法第36條,每七日中未有一日之休息作為例假。,北府勞條字第10220419801號函,102年6月19日
17,喜寶食品生技股份有限公司,勞基法第38條,未依規定給予特別休假。,北府勞條字第10220419802號函,102年6月19日
18,光紅建聖股份有限公司,*勞基法第32條第2項,延長工作時間超過法令規定。,北府勞條字第1022066838號函,102年6月19日
19,欣中環保企業股份有限公司,*勞基法第24條,延長工作時間未依規定加給工資。,北府勞條字第1022074792號函,102年6月24日
19,欣中環保企業股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定。,北府勞條字第10220747921號函,102年6月24日
20,華創車電技術中心股份有限公司,*勞基法第24條,延長工作時間未依規定加給工資。,北府勞條字第1022118408號函,102年6月27日
21,魔術食品工業股份有限公司,*勞基法第32條第2項,延長工作時間超過法令規定。,北府勞條字第1022108279號函,102年6月28日
