裁罰企業名稱,污染種類,污染地點,污染物,違反法條,裁罰/公告日期,資訊來源
獅王工業觀音廠,廢棄物,,露天堆置廢酸液、廢木材，並將未在廢棄物清理計畫書中登載的有害廢液自行處理,廢棄物清理法第36條和第31條,101-05-19,http://www.tyepb.gov.tw/tyepbnew/cht/index.php?code=list&flag=detail&ids=177&article_id=7678
獅王工業觀音廠,水污染,,逕將廢水排入雨水下水道,水污染防治法第18條,101-05-19,http://www.tyepb.gov.tw/tyepbnew/cht/index.php?code=list&flag=detail&ids=177&article_id=7678
觀音工業區錦美紙廠,水污染,富林溪,繞流偷排事業廢水,水污染防治法14之2條、水污染防治法第18條,101-05-17,http://www.tyepb.gov.tw/tyepbnew/cht/index.php?code=list&flag=detail&ids=177&article_id=7661
俊紡染整廠,水污染,樹林溪,水溫40.2度超過規定標準,水污染防治法第七條,101-05-16,http://www.tyepb.gov.tw/tyepbnew/cht/index.php?code=list&flag=detail&ids=177&article_id=7658
富順纖維觀音廠,水污染,觀音外海,廠方坦承造成污染,,101-05-15,http://www.tyepb.gov.tw/tyepbnew/cht/index.php?code=list&flag=detail&ids=177&article_id=7647
白玉砂石場,水污染,,沒有廢水排放許可，以暗管偷排廢水,水污染防治法第14條第1項,101-04-17,http://www.tyepb.gov.tw/tyepbnew/cht/index.php?code=list&flag=detail&ids=177&article_id=7512 http://www.nownews.com/2012/04/18/138-2805521.htm
弘騰網印布料印刷工廠,水污染,新街溪,白膠和各種顏色金蔥混合的廢料,水污染防治法第30條,101-04-15,http://www.tyepb.gov.tw/tyepbnew/cht/index.php?code=list&flag=detail&ids=177&article_id=7490
觀音工業區污水處理廠,水污染,觀音鄉出海口,事業廢水納管收集管線破裂,水污染防治法第18條,101-04-11,http://www.tyepb.gov.tw/tyepbnew/cht/index.php?code=list&flag=detail&ids=177&article_id=7480
昶昕實業公司,水污染,,大園一廠現場操作設備與許可證不符；含銅廢液處理廠、蘆竹廠無每日操作記錄,,101-03-30,http://www.tyepb.gov.tw/tyepbnew/cht/index.php?code=list&flag=detail&ids=177&article_id=7443
昶昕實業公司,空氣污染,,含銅廢液處理廠涉及空氣防制設備未密閉收集，大園一廠內操作條件與許可內容不符,,101-03-30,http://www.tyepb.gov.tw/tyepbnew/cht/index.php?code=list&flag=detail&ids=177&article_id=7443
昶昕實業公司,廢棄物,,事業廢棄物遞送聯單未簽收，硫酸銅純化製程未登載於事業廢棄物清理計畫書，廠區內未保持清潔，導致廢水污染並貯留地面,,101-03-30,http://www.tyepb.gov.tw/tyepbnew/cht/index.php?code=list&flag=detail&ids=177&article_id=7443
