項次,事業單位名稱,違反法令條款,違反法規內容,處分書文號,處分日期
23,勤讚保全股份有限公司,勞基法第36條、第70條、第32條第2項、第30條第5項、第23條第2項、第24條,5.未依規定置備勞工工資清冊,102年府勞檢字10201086761號,102/6/28
23,勤讚保全股份有限公司,勞基法第36條、第70條、第32條第2項、第30條第5項、第23條第2項、第24條,6.延長工作時間未依規定加給工資,102年府勞檢字1020108676號102年府勞檢字1020157300號,102/6/28
24,桃園汽車客運股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定,102年府勞檢字1020105826號,102/05/02.
25,全方位保全股份有限公司,勞基法第24條、第32條第2項,1.延長工作時間未依規定加給工資,102年府勞檢字1020134711號102年府勞檢字10201347111號,102/06/05
25,全方位保全股份有限公司,勞基法第24條、第32條第2項,2.延長工作時間,超過法令規定,102/06/05
26,順安保全股份有限公司,勞基法第22條第2項、第24條、第32條第1項、第32條第2項,1.工資未全額直接給付勞工2.延長工作時間未依規定加給工資3.延長工作時間不符法定要件4.延長工作時間,超過法令規定,102年府勞檢字1020127717號102年府勞檢字10201277171號102年府勞檢字10201277172號102年府勞檢字10201277173號,102/05/24
27,鐵衛保全股份有限公司,勞基法第24條、第30條第5項、第32條第1項、第39條,1.延長工作時間未依規定加給工資2.未依規定置備勞工出勤紀錄表3.延長工作時間不符法定要件4.假日工資未給或於休假日工作未依規定加給工資,102年勞檢字1020126937號102年勞檢字10201269371號102年府勞檢字10201269372號102年府勞檢字10201269373號,102/05/29
28,佳格食品股份有限公司大園廠,勞基法第32條第2項,延長工作時間超過法令規定,102年府勞檢字1020132102號,102/05/30
29,桃園縣私立普利斯堡幼兒園,勞基法第30條第5項,未依規定置備勞工出勤紀錄表,102年府勞檢字1020139891號,102/06/07
30,漢威保全股份有限公司,勞基法第24條,延長工作時間未依規定加給工資,102年府勞檢字1020134563號,102/06/04
31,慧智保全股份有限公司,勞基法第24條,延長工作時間未依規定加給工資,102年府勞檢字1020127628號,102/05/24
32,壢揚小吃店,勞基法第7條、第36條、第39條,1.未依規定置備勞工名卡2.每七日中未有一日之休息作為例假3.假日工資未給或於休假日工作未依規定加給工資,102年府勞檢字1020145182號102年府勞檢字10201451821號102年府勞檢字10201451822號,102/06/14
33,聯倉交通股份有限公司,勞基法第32條第1項、第32條第2項,1.延長工作時間未依規定不符法定要件2.延長工作時間超過法令規定,102年府勞檢字10201517511號102年府勞檢字1020151751號,102/06/26
34,日安小吃店,勞基法第24條、第37條、第39條,1.延長工作時間未依規定加給工資2.依規定應放假之日未予休假3.假日工資未給或於休假日工作未依規定加給工資,102年府勞檢字1020107638號102年府勞檢字10201076381號102年府勞檢字10201076382號,102/05/06
35,景榮通運股份有限公司,勞基法第30條第1項、第30條第5項、第36條,1.正常工作時間超過法令規定2.未依規定置備勞工出勤紀錄表3.每七日中未有一日之休息作為例假,102年府勞檢字1020151452號102年府勞檢字10201514521號102年府勞檢字10201514522號,102/06/20
36,晶鑽汽車美容商行,勞基法第22條第2項、第30條第5項、第24條,1.工資未全額直接給付勞工2.未依規定置備勞工出勤紀錄表1.延長工作時間未依規定加給工資,102年府勞檢字1020129399號102年府勞檢字10201293991號102年府勞檢字10201293992號,102/05/28.
37,富通保全股份有限公司,勞基法第32條第2項、第37條、第30條第1項,1.延長工作時間超過法令規定2.依規定應放假之日未予休假3.正常工作時間超過法令規定,102年府勞檢字1020121873號102年府勞檢字10201218731號102年府勞檢字10201218732號,102/05/24.
38,富鄰保全股份有限公司,勞基法第37條、第32條第2項、第36條,1.依規定應放假之日未予休假2.延長工作時間超過法令規定3.每七日中未有一日之休息作為例假,102年府勞檢字1020117437號102年府勞檢字10201174371號102年府勞檢字10201174372號,102/05/15.
39,盛美精密有限公司,勞基法第32條第2項、第24條、第70條、第36條,1.延長工作時間超過法令規定2.延長工作時間未依規定加給工資3.工作規則未依規定報備並公告揭示4.每七日中未有一日之休息作為例假,102年府勞檢字1020117623號102年府勞檢字10201176231號102年府勞檢字10201176232號102年府勞檢字10201176233號,102/05/15.
40,椿允機械股份有限公司,勞基法第24條、第30條第5項、第32條第2項,1.延長工作時間未依規定加給工資2.未依規定置備勞工出勤紀錄表3.延長工作時間超過法令規定,102年府勞檢字1020117504號102年府勞檢字10201175041號102年府勞檢字10201175042號,102/05/15.
41,鼎城保全股份有限公司,勞基法第24條、第32條第2項,1.延長工作時間未依規定加給工資2.延長工作時間超過法令規定,102年府勞檢字1020128512號102年府勞檢字10201285121號,102/05/24
42,永昱泰企業股份有限公司,勞基法第24條,延長工作時間未依規定加給工資,102年府勞檢字1020120765號,102/05/17
