項次,事業單位名稱,違反法令條款,違反法規內容,處分書文號,處分日期,
15,艾肯管理顧問有限公司,勞基法第22條第2項、第24條、第32條第2項,1.工資未全額直接給付勞工、2.延長工作時間未依規定加給工資、3.延長工作時間超過法令規定,102年府勞檢字1020099632號、102年府勞檢字10200996321號、102年府勞檢字10200996322號,1020424
16,桃園縣私立大惠幼兒園,勞基法第38條,未依規定給予特別休假,102年府勞檢字1020095982號,1020419
17,通閔股份有限公司,勞基法第24條、第32條第2項,1.延長工作時間未依規定加給工資、2.延長工作時間超過法令規定,102年府勞檢字1020072602號、102年府勞檢字10200726021號,1020326
18,敬鵬工業股份有限公司,勞基法第32條第2項,1.延長工作時間超過法令規定,102年府勞檢字1020060286號,1020312
18,敬鵬工業股份有限公司,勞基法第36條,2.每七日中未有一日之休息作為例假,102年府勞檢字1020052119號,1020305
19,永旭保全股份有限公司,勞基法第24條,延長工作時間未依規定加給工資,102年府勞檢字1020075756號,1020328
20,國強保全股份有限公司,勞基法第36條,每七日中未有一日之休息作為例假,102年府勞檢字1020075756號,1020325
21,三商保全股份有限公司,勞基法第36條,每七日中未有一日之休息作為例假,102年府勞檢字1020075803號,1020328
22,悅城科技股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定,102年府勞檢字1020059453號,1020313
23,中壢汽車客運股份有限公司,勞基法第24條,延長工作時間未依規定加給工資,102年府勞檢字1020065874號,1020319
24,東森警備保全股份有限公司,勞基法第36條,每七日中未有一日之休息作為例假,102年府勞檢字1020080576號,1020403
25,國興保全股份有限公司,勞基法第36條,每七日中未有一日之休息作為例假,102年府勞檢字1020071988號,1020326
26,台硝股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定,102年府勞檢字1020057764號,1020311
27,欣桃天然氣股份有限公司,勞基法第24條,延長工作時間未依規定加給工資,102年府勞檢字1020100269號,1020425
28,長庚醫療財團法人林口長庚紀念醫院,勞基法第24條,延長工作時間未依規定加給工資,102年府勞檢字1020091727號,1020417
29,台耀化學股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定,102年府勞檢字1020098755號,1020424
30,介面光電股份有限公司中壢三廠,勞基法第36條,每七日中未有一日之休息作為例假,102年府勞檢字1020097068號,1020422
31,台聯汽車客運股份有限公司,勞基法第24條、第32條第1項,1.延長工作時間未依規定加給工資、2.延長工作時間不符法定要件,102年府勞檢字1020096592號、102年府勞檢字10200621281號、102年府勞檢字1020062128號,1020422
32,三盈科技有限公司,勞基法第24條,延長工作時間未依規定加給工資,102年府勞檢字1020095864號,1020422
33,宇鋒保全股份有限公司,勞基法第24條,延長工作時間未依規定加給工資,102年府勞檢字1020081755號,1020408
34,建名精密企業股份有限公司,勞基法第24條,延長工作時間未依規定加給工資,102年府勞檢字1020095820號,1020421
35,福容大飯店股份有限公司,勞基法第24條、第32條第2項,1.延長工作時間未依規定加給工資、2.延長工作時間超過法令規定,102年府勞檢字10200916631號、102年府勞檢字1020091663號,1020419
36,金像電子股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定,102年府勞檢字1020081750號,1020408
37,中華航空股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定,102年府勞檢字1020070912號,1020325
38,味全食品工業股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定,102年府勞檢字1020070595號,1020322
39,弘達流通股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定,102年府勞檢字1020066836號,1020318
40,日月光半導體製造股份有限公司中壢分公司,勞基法第36條,每七日中未有一日之休息作為例假,102年府勞檢字10200581491號,1020312
41,同欣電子工業股份有限公司,勞基法第32條第2項、第36條,1.延長工作時間超過法令規定、2.每七日中未有一日之休息作為例假,102年府勞檢字1020054090號、102年府勞檢字10200540901號,1020306
42,昇元窯業股份有限公司,勞基法第36條,每七日中未有一日之休息作為例假,102年府勞檢字1020052688號,1020304
43,財團法人桃園縣私立嘉惠啟智教養院,勞基法第22條第2項,工資未全額直接給付勞工,102年府勞檢字1020100041號,1020426
44,大方藝彩行銷顧問股份有限公司,勞基法第39條,假日工資未給或於休假日工作未依規定加給工資,102年府勞檢字1020096447號,1020421
